Player,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Kyriakos Papadopoulos,2.0689655172413794,1.862068965517241,1.2413793103448276,0.8275862068965517,0.0,1.4137931034482758,2.3793103448275863,51.77931034482759,0.9655172413793104,1.862068965517241,1.206896551724138,0.6551724137931034,1.4827586206896552,3.5517241379310347,6.241379310344827,0.0689655172413793
Rick van Drongelen,1.6666666666666667,1.3888888888888888,1.2777777777777777,0.3888888888888889,0.0,1.1666666666666667,1.5555555555555556,60.1888888888889,0.3888888888888889,1.1111111111111112,0.6111111111111112,0.5,1.0555555555555556,2.7222222222222223,3.2222222222222223,0.0555555555555555
Aaron Hunt,1.2413793103448276,0.8275862068965517,0.4137931034482758,0.6896551724137931,0.1379310344827586,0.3793103448275862,1.2758620689655171,24.13793103448276,0.896551724137931,0.6896551724137931,0.0689655172413793,0.6206896551724138,0.4827586206896552,1.7241379310344829,0.6206896551724138,0.0689655172413793
Lamine Sané,1.7272727272727273,1.2727272727272727,1.3636363636363635,0.3636363636363636,0.0,0.7272727272727273,0.9090909090909092,45.45454545454545,0.1818181818181818,0.7272727272727273,0.5454545454545454,0.1818181818181818,1.818181818181818,3.5454545454545454,4.454545454545454,0.0909090909090909
Eugen Polanski,0.8888888888888888,0.7777777777777778,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.5555555555555556,0.6666666666666666,33.333333333333336,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.5555555555555556,0.4444444444444444,1.3333333333333333,0.4444444444444444,0.0
Riechedly Bazoer,0.6153846153846154,0.5384615384615384,0.3846153846153846,0.1538461538461538,0.0769230769230769,0.1538461538461538,0.3076923076923077,15.384615384615383,0.1538461538461538,0.1538461538461538,0.0769230769230769,0.0769230769230769,0.6153846153846154,1.2307692307692308,0.3076923076923077,0.0769230769230769
Kaylen Hinds,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0
Charlison Benschop,0.5714285714285714,0.5714285714285714,0.1428571428571428,0.4285714285714285,0.0,0.4285714285714285,1.1428571428571428,12.857142857142858,0.7142857142857143,0.1428571428571428,0.0,0.1428571428571428,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.0
René Adler,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0714285714285714,0.0714285714285714,7.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.5714285714285714,0.0714285714285714
Fabian Frei,2.0,1.3636363636363635,0.6363636363636364,1.0909090909090908,0.2727272727272727,0.7272727272727273,1.3636363636363635,40.90909090909091,0.6363636363636364,0.9090909090909092,0.0,0.9090909090909092,1.4545454545454546,3.4545454545454546,1.5454545454545454,0.0909090909090909
Viktor Fischer,0.4,0.4,0.2,0.1,0.1,0.2,0.5,15.0,0.3,0.2,0.0,0.2,0.3,0.7,0.2,0.0
Ailton,1.6,1.0,0.6,1.0,0.0,0.8,1.6,20.0,0.8,1.0,0.0,1.0,0.4,2.0,1.0,0.0
Aron Jóhannsson,0.3076923076923077,0.2307692307692307,0.1538461538461538,0.1538461538461538,0.0,0.0769230769230769,0.5384615384615384,3.8461538461538463,0.4615384615384615,0.2307692307692307,0.0,0.2307692307692307,0.0769230769230769,0.3846153846153846,0.3846153846153846,0.0
Samuel Şahin-Radlinger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
George Timotheou,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,0.0
Sascha Riether,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastian Jung,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,66.66666666666667,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
Edgar Prib,2.5,2.25,0.75,1.25,0.5,0.5,1.0,50.0,0.5,1.0,0.0,1.0,0.5,3.0,0.25,0.0
Christoph Daferner,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Jonas Carls,5.0,2.0,4.0,0.0,1.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
Sebastian Soto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivo Iličević,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,33.333333333333336,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
Uffe Bech,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christoph Janker,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.0,0.2222222222222222,0.3333333333333333,11.11111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.5555555555555556,0.1111111111111111
Florian Baak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfons Amade,1.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Lukas Jäger,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaroslav Drobný,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
David Otto,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
Jozo Stanić,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Dierßen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Jan-Ingwer Callsen-Bracker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathas,0.6363636363636364,0.3181818181818182,0.2272727272727272,0.3636363636363636,0.0454545454545454,0.1818181818181818,0.5454545454545454,10.227272727272728,0.3636363636363636,0.5454545454545454,0.0909090909090909,0.4545454545454545,0.1363636363636363,0.7727272727272727,0.5909090909090909,0.0
Meritan Shabani,1.0,0.5,0.5,0.0,0.5,0.5,1.0,25.0,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.5
Benjamin Hadžić,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ewerton,1.3333333333333333,1.1111111111111112,1.1666666666666667,0.1666666666666666,0.0,0.4444444444444444,0.7777777777777778,20.83333333333333,0.3333333333333333,1.2777777777777777,0.8888888888888888,0.3888888888888889,1.3888888888888888,2.7222222222222223,6.0,0.0555555555555555
Paul Verhaegh,1.393939393939394,1.1515151515151516,0.6363636363636364,0.6666666666666666,0.0909090909090909,0.7575757575757576,1.0606060606060606,50.50606060606061,0.303030303030303,1.303030303030303,0.303030303030303,1.0,1.0303030303030305,2.4242424242424243,2.0303030303030303,0.0303030303030303
Yoric Ravet,0.7857142857142857,0.5714285714285714,0.2857142857142857,0.4285714285714285,0.0714285714285714,0.2857142857142857,0.6428571428571429,21.428571428571427,0.3571428571428571,0.6428571428571429,0.0714285714285714,0.5714285714285714,0.2142857142857142,1.0,0.5,0.0
Patrick Kammerbauer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Haji Wright,0.4285714285714285,0.2857142857142857,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,0.0,0.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,0.0,0.4285714285714285,0.1428571428571428,0.0
Antonis Aidonis,1.5,0.5,0.5,0.5,0.5,0.5,2.0,12.5,1.5,0.5,0.0,0.5,1.0,2.5,1.0,0.0
John Yeboah,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.5,0.0,0.5,0.5,0.5,0.0,0.0
Simon Rhein,0.875,0.5,0.875,0.0,0.0,0.25,0.875,12.5,0.625,0.75,0.125,0.625,0.875,1.75,0.75,0.0
Adam Zreľák,1.0,0.6428571428571429,0.1428571428571428,0.7857142857142857,0.0714285714285714,0.3571428571428571,0.6428571428571429,26.192857142857143,0.2857142857142857,1.0,0.1428571428571428,0.8571428571428571,0.1428571428571428,1.1428571428571428,0.9285714285714286,0.0
Chima Okoroji,1.5,0.0,0.5,0.5,0.5,0.5,0.5,50.0,0.0,0.0,0.0,0.0,0.5,2.0,0.5,0.0
Christian Mathenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0652173913043478,0.0,0.0652173913043478,0.0217391304347826,0.0,0.0217391304347826,0.0217391304347826,0.0217391304347826,0.6304347826086957,0.108695652173913
Sebastian Kerk,0.7619047619047619,0.4285714285714285,0.3809523809523809,0.238095238095238,0.1428571428571428,0.3333333333333333,1.0952380952380951,20.633333333333333,0.7619047619047619,0.6666666666666666,0.238095238095238,0.4285714285714285,0.1428571428571428,0.9047619047619048,1.0476190476190477,0.0476190476190476
Marc Stendera,2.071428571428572,1.5,0.5714285714285714,1.3571428571428572,0.1428571428571428,0.7142857142857143,1.7142857142857142,29.52857142857143,1.0,1.0,0.1428571428571428,0.8571428571428571,0.5714285714285714,2.642857142857143,0.1428571428571428,0.0
Jakub Błaszczykowski,1.2,0.8,0.8,0.2,0.2,0.6,1.3,31.0,0.7,1.1,0.3,0.8,0.5,1.7,0.3,0.0
Tim Kleindienst,1.0,0.6923076923076923,0.2692307692307692,0.5384615384615384,0.1923076923076923,0.1923076923076923,0.7692307692307693,7.050000000000001,0.5769230769230769,0.7692307692307693,0.1153846153846153,0.6538461538461539,0.2307692307692307,1.2307692307692308,1.0769230769230769,0.0
Florent Muslija,0.9411764705882352,0.5882352941176471,0.4705882352941176,0.3529411764705882,0.1176470588235294,0.4705882352941176,0.7058823529411765,33.33529411764706,0.2352941176470588,0.2352941176470588,0.0,0.2352941176470588,0.1764705882352941,1.1176470588235294,0.2352941176470588,0.0
Marco Russ,1.0,0.5416666666666666,0.5833333333333334,0.4166666666666667,0.0,0.7083333333333334,1.0416666666666667,40.28333333333333,0.3333333333333333,1.0416666666666667,0.5416666666666666,0.5,1.2916666666666667,2.2916666666666665,3.083333333333333,0.0
Davor Lovren,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0
Gaëtan Bussmann,2.0,1.0,2.0,0.0,0.0,2.0,5.0,40.0,3.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0
Takashi Usami,0.9473684210526316,0.631578947368421,0.3684210526315789,0.5789473684210527,0.0,0.4736842105263157,1.368421052631579,21.489473684210527,0.8947368421052632,0.7894736842105263,0.1052631578947368,0.6842105263157895,0.4210526315789473,1.368421052631579,0.6842105263157895,0.0526315789473684
Sandro Wagner,0.625,0.40625,0.1875,0.375,0.0625,0.1875,0.25,18.75,0.0625,0.46875,0.09375,0.375,0.15625,0.78125,0.5,0.0
Shinji Kagawa,1.5238095238095235,1.0476190476190477,0.5238095238095238,0.6666666666666666,0.3333333333333333,0.8571428571428571,1.2857142857142858,39.2904761904762,0.4285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,1.809523809523809,0.0952380952380952,0.0
Josip Elez,0.9523809523809524,0.5238095238095238,0.6666666666666666,0.238095238095238,0.0476190476190476,0.3333333333333333,0.9523809523809524,26.19047619047619,0.6190476190476191,1.0476190476190477,0.5238095238095238,0.5238095238095238,1.0476190476190477,2.0,3.142857142857143,0.0476190476190476
Julian Korb,1.95,1.45,1.075,0.7,0.175,1.175,2.425,46.935,1.25,1.425,0.15,1.275,1.125,3.075,2.775,0.025
Derrick Luckassen,1.0,0.5,1.0,0.0,0.0,0.25,0.75,12.5,0.5,0.25,0.0,0.25,0.0,1.0,3.25,0.0
Berkay Özcan,0.95,0.5,0.35,0.45,0.15,0.35,0.55,20.0,0.2,0.75,0.1,0.65,0.15,1.1,0.4,0.0
Andreas Beck,1.7234042553191489,1.0212765957446808,0.9361702127659576,0.7021276595744681,0.0851063829787234,0.6808510638297872,1.2340425531914894,33.227659574468085,0.5531914893617021,1.3617021276595744,0.1702127659574468,1.1914893617021276,0.8723404255319149,2.595744680851064,2.127659574468085,0.0212765957446808
Virgil Misidjan,0.9130434782608696,0.5652173913043478,0.4347826086956521,0.217391304347826,0.2608695652173913,0.1739130434782608,1.0869565217391304,5.217391304347826,0.9130434782608696,0.7391304347826086,0.0,0.7391304347826086,0.391304347826087,1.3043478260869563,0.217391304347826,0.0
Ahmet Gürleyen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Marco Fabián,1.0,0.625,0.5,0.5,0.0,0.5,0.625,43.75,0.125,0.25,0.0,0.25,0.75,1.75,0.125,0.0
Fabian Lustenberger,1.7692307692307692,1.2307692307692308,0.9423076923076924,0.7884615384615384,0.0384615384615384,0.6923076923076923,1.2307692307692308,33.55769230769231,0.5384615384615384,1.3461538461538465,0.5769230769230769,0.7692307692307693,1.2115384615384617,2.980769230769231,3.5,0.0576923076923076
Yevhen Konoplyanka,0.325,0.225,0.075,0.1,0.15,0.125,0.375,11.25,0.25,0.6,0.025,0.575,0.2,0.525,0.225,0.0
Dennis Aogo,1.1363636363636365,0.8181818181818182,0.5227272727272727,0.5681818181818182,0.0454545454545454,0.4545454545454545,0.8409090909090909,37.87954545454546,0.3863636363636363,0.7954545454545454,0.0909090909090909,0.7045454545454546,0.8636363636363636,2.0,1.0454545454545454,0.0227272727272727
Luca Plogmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niko Bungert,1.0,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.0,0.7142857142857143,0.7142857142857143,42.85714285714285,0.0,1.0,0.8571428571428571,0.1428571428571428,0.5714285714285714,1.5714285714285714,2.2857142857142856,0.0
